,dt,user,lon,lat
0,0.0,1.0,1.719076310896057,1.1524832697809846
1100,0.0,3.0,0.5216098094328192,0.4724968065485766
50,0.0,6.0,1.601504962374491,1.8278883529101362
70,1.0,8.0,1.1742376716705913,1.613329575587944
7100,1.0,15.0,0.36641886510397437,0.3698207128374901
7600,1.0,16.0,0.6173891380660774,0.3505457314818107
2600,2.0,6.0,0.5365283602192568,0.2651180557649341
9600,2.0,20.0,0.19547909288554233,0.1463289652083628
10,3.0,2.0,1.3393164605036358,0.9881158386531538
20,3.0,3.0,1.8888188175179512,1.1929397072305186
51,3.0,6.0,1.6013548424886888,1.8278504667078008
600,4.0,2.0,0.7907406293782532,0.08645068878194373
71,4.0,8.0,1.173957380828535,1.6133046813355245
6600,4.0,14.0,0.5636442458777131,0.8596921127580222
52,5.0,6.0,1.6011841031210845,1.8278249857221593
2601,5.0,6.0,0.5363782403334545,0.2650801695625987
3100,5.0,7.0,0.9024447823324777,0.09087943756771288
80,5.0,9.0,1.3612497924241729,1.1283974656945097
4600,5.0,10.0,0.8590868909114887,0.3019112664794119
8600,5.0,18.0,0.273305531591177,0.9032548278743249
3101,6.0,7.0,0.9024963310369827,0.09087256440711222
72,6.0,8.0,1.173753030029213,1.613290432100133
3600,6.0,8.0,1.0987544832589644,0.49470886636387357
5600,6.0,12.0,0.9891454949603634,0.21139736484962957
7101,6.0,15.0,0.3666699869229937,0.3697951480328169
7601,6.0,16.0,0.6177391663425209,0.3505121200500928
9601,6.0,20.0,0.1956341580942158,0.1463077589933388
1101,7.0,3.0,0.5218509567870644,0.472440144883137
40,7.0,5.0,1.255993221343589,0.9935154886780276
2100,7.0,5.0,0.42959384239984566,0.4528714593700819
53,7.0,6.0,1.600900627155823,1.8278269135598888
2602,7.0,6.0,0.5362075009658502,0.26505468857695724
4100,7.0,9.0,0.8067346493748803,0.18906799145042896
5100,7.0,11.0,0.5695101512686465,0.08550749421216808
6100,7.0,13.0,1.0124822943718432,0.5741211775738653
6601,7.0,14.0,0.5637944495825471,0.8596475210331496
9100,7.0,19.0,0.17409455683861785,0.25867584428329415
1,8.0,1.0,1.7194486350349367,1.1523743050397546
100,8.0,1.0,0.8140398027533374,0.787834252882154
11,8.0,2.0,1.3396167002752404,0.9880778686317867
1600,8.0,4.0,0.4083534092204555,0.3476075221431614
60,8.0,7.0,1.2431678823547538,1.8330154591131884
3102,8.0,7.0,0.9026370631912328,0.09086200320911608
73,8.0,8.0,1.1735417222502584,1.6132811281876125
90,8.0,10.0,1.8884281584727298,1.70084128618725
601,9.0,2.0,0.7910408691498577,0.08641271876057666
30,9.0,4.0,1.1920103003766345,1.028483147194526
41,9.0,5.0,1.2561168544153691,0.9934955397484794
